IP地址：,,,,,,设备地址：,,,端口号：,,,
序号,英文标签名,中文描述,数据类型,单位,系数,,寄存器地址,寄存器地址,,功能码,,
1,F_PowerManageEnable,风场有功管理使能信号给定,bool,3,1,,1,1,,1,ems_en,AP_Control_EN
2,F_RPowerManageEnable,风场无功管理使能信号给定,bool,,1,,2,2,,1,ems_en,RP_Control_EN
3,F_PowerManageFB,风场有功管理使能反馈,bool,,1,,10001,10001,,2,无,无
4,F_RPowerManageFB,风场无功管理使能反馈,bool,,1,,10002,10002,,2,无,无
5,F_PPMActivePowerSetting,风机集群有功功率设定值,float32,kw,1,,40001,40001,,3,无,AP_Manual_Val_Set
6,F_PPMReactivePowerSetting,风电集群无功功率设定值,float32,kvar,1,,40003,40003,,3,无,RP_Manual_Val_Set
7,F_AGC_En,风电集群AGC远方投入,bool,,1,,10003,10003,,2,无,无
8,F_AVC_En,风电集群AVC远方投入,bool,,1,,10004,10004,,2,无,无
9,F_PowerSetFB,风电集群有功功率设定值反馈值,float32,kw,1,,30001,30001,,4,ems_Fshow,SYS_WFrm_ActpSet
10,F_RPowerSetFB,风电集群无功功率设定值反馈值,float32,kvar,1,,30003,30003,,4,ems_Fshow,SYS_WFrm_REActpowerSet
11,F_PowerActual,风电集群实发有功功率,float32,kw,1,,30005,30005,,4,ems_Fshow,SYS_WFrm_ActP
12,F_RPowerActual,风电集群实发无功功率,float32,kvar,1,,30007,30007,,4,ems_Fshow,SYS_WFrm_REActP
13,F_PowerTheory,风电集群理论功率,float32,kw,1,,30009,30009,,4,无,无
14,F_PowerEnable,风电集群可发理论功率,float32,kw,1,,30011,30011,,4,ems_Fshow,SYS_WFrm_PreActP
15,F_PowerTheorySingel,风电集群版样机理论功率,float32,kw,1,,30013,30013,,4,无,无
16,F_RPowerMax,风电集群可发最大无功功率,float32,kvar,1,,30015,30015,,4,无,无
17,F_RPowerMin,风电集群可发最小无功功率,float32,kvar,1,,30017,30017,,4,无,无
18,F_PowerMax,风电集群可发最大有功功率,float32,kw,1,,30019,30019,,4,mod,powerUpperBound
19,F_PowerMin,风电集群可发最小有功功率,float32,kw,1,,30021,30021,,4,mod,powerLowerBound
20,F_PowerSum,风电集群被限功率总和,float32,kw,1,,30023,30023,,4,无,无
21,F_PowerSpeed,风电集群有功调节速率/分钟,float32,kw/m,1,,30025,30025,,4,无,无
22,F_WindSpeedAve,风电集群风机平均风速,float32,m/s,1,,30027,30027,,4,ems_Fshow,SYS_WFrm_WS
23,F_Sum,风电集群装机总台数,float32,台,1,,30029,30029,,4,ems_Fshow,SYS_WNum
24,F_Capacity,风电集群装机总容量,float32,MW,1,,30031,30031,,4,ems_Fshow,SYS_Wcap
25,F_ComuNum,风电集群无通讯台数,float32,台,1,,30033,30033,,4,无,无
26,F_ComuCapacity,风电集群无通讯容量,float32,台,1,,30035,30035,,4,无,无
27,T_FaultNum,风机集群故障台数,float32,台,1,,30037,30037,,4,无,无
28,T_FaultCapacity,风机集群故障容量,float32,MW,1,,30039,30039,,4,无,无
29,T_MaintainNum,风机集群维护台数,float32,台,1,,30041,30041,,4,无,无
30,T_MaintainCapacity,风机集群维护容量,float32,MW,1,,30043,30043,,4,无,无
31,T_StandbyNum,风机集群待机台数,float32,台,1,,30045,30045,,4,无,无
32,T_StandbyCapacity,风机集群待机容量,float32,MW,1,,30047,30047,,4,无,无
33,T_LimitNum,风机集群限电运行台数,float32,台,1,,30049,30049,,4,mod,limitPowerTurbineNumber
34,T_LimitCapacity,风机集群限电运行容量,float32,MW,1,,30051,30051,,4,mod,limitPowerCap
35,T_UnlimitNum,风机集群自由发电台数,float32,台,1,,30053,30053,,4,无,无
36,T_UnlimitCapacity,风机集群自由发电容量,float32,MW,1,,30055,30055,,4,无,无
37,T_StopNum,风机集群限电停机台数,float32,台,1,,30057,30057,,4,无,无
38,T_limitStopCapacity,风机集群限电停机容量,float32,MW,1,,30059,30059,,4,无,无
39,T_UnlimitStopNum,风机集群非限电停机台数,float32,台,1,,30061,30061,,4,无,无
40,T_UnlimitStopCapacity,风机集群非限电停机容量,float32,MW,1,,30063,30063,,4,无,无
41,F_WT1ComError,1#风机通讯中断,bool,,1,,10005,2,,,ems_Tshow,WT1_MainState
42,F_WT2ComError,2#风机通讯中断,bool,,1,,10006,2,,,ems_Tshow,WT2_MainState
43,F_WT3ComError,3#风机通讯中断,bool,,1,,10007,2,,,ems_Tshow,WT3_MainState
44,F_WT4ComError,4#风机通讯中断,bool,,1,,10008,2,,,ems_Tshow,WT4_MainState
45,F_WT5ComError,5#风机通讯中断,bool,,1,,10009,2,,,ems_Tshow,WT5_MainState